"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano_WithMountingHoles","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1","1","0.1 µF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1,D2,D3","3","LED","","","","LED_THT:LED_D5.0mm","~"
"Q1,Q2,Q3","3","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R3,R5","3","1000","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2,R4,R6","3","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R77,RA1,RB1,RC1,RD1,RDPX1,RE1,RF1,RG1","9","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1","1","Pedestrian Button","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","74HC595","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U2","1","CC56-12SRWA","","","","Display_7Segment:CA56-12SRWA","http://www.kingbrightusa.com/images/catalog/SPEC/CC56-12SRWA.pdf"
